"annee" "age" "sexe" "age.agg" "pop" "colon.rectum.inc" "col.de.l.uterus.inc" "corps.de.l.uterus.inc" "estomac.inc" "foie.inc" "larynx.inc" "melanome.de.la.peau.inc" "oesophage.inc" "ovaire.inc" "pancreas.inc" "poumon.inc" "rein.inc" "sein.inc" "systeme.nerveux.cent.inc" "thyroide.inc" "tous.cancers.inc" "levre.bouche.pharynx.inc" "vessie.inc" "colon.rectum.deces" "col.de.l.uterus.deces" "corps.de.l.uterus.deces" "estomac.deces" "foie.deces" "larynx.deces" "melanome.de.la.peau.deces" "oesophage.deces" "ovaire.deces" "pancreas.deces" "poumon.deces" "rein.deces" "sein.deces" "systeme.nerveux.cent.deces" "thyroide.deces" "tous.cancers.deces" "levre.bouche.pharynx.deces" "vessie.deces" "tabac.part.depense" "tabac.volume.par.personne.euro" "part.obesite" "part.surpoids" "10.um.france" "2.5.um.france" "ammoniac.france" "composes.organiques.volatiles.autres.que.methane.france" "oxydes.d.azote.france" "oxydes.de.soufre.france" "10.um.ue" "2.5.um.ue" "ammoniac.ue" "composes.organiques.volatiles.autres.que.methane.ue" "oxydes.d.azote.ue" "oxydes.de.soufre.ue"
"1" 1992 "[75-79]" "femme" "[60-79]" 823078 2.34364179336588 0.249065094681185 0.541868449891748 0.494485334318254 0.116635361411677 0.0242990336274326 0.196822172382204 0.0935512794656156 0.404578909896753 0.281868790078219 0.386354634676179 0.29037345184782 2.74579079989989 0.100840989553845 0.0911213761028724 11.0900789475603 0.170093235392028 0.285513645122333 1.14934429057756 0.155513815215569 0.277008983352732 0.420373281754585 NA 0.0182242752205745 0.0571027290244667 0.0911213761028724 0.427662991842814 NA 0.453176977151619 0.189532462293975 1.19429750278831 0.123925071499906 0.0534578739803518 8.08671839120958 0.0716821492009263 0.17859789716163 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"2" 1992 "[80-84]" "homme" "[80-++]" 464598 4.43609313858432 1.43349734609275 0.484289643950254 0.359450535731966 0.230306630678565 0.656481517354788 0.42832728509378 3.13819689279764 8.93891062811291 0.598366760080758 0.118381912965618 0.0129143905053401 0.0365907730984636 27.6152716972523 0.966426889482951 1.92424418529567 1.92424418529567 1.92424418529567 3.04133896400759 1.40336376824696 NA 0.39604130883043 0.0925531319549374 0.742577454057056 NA 4.12614776645616 5.02585030499486 0.570385580652521 0.165734678151865 0.0129143905053401 0.040895569933577 25.1572327044025 0.538099604389171 1.25054348060043 1.25054348060043 1.25054348060043 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"3" 1992 "[85-++]" "femme" "[80-++]" 782670 2.93354798318576 0.187818620874698 0.316864067870239 0.847100310475679 0.0919927938978113 0.0217205207814277 0.251702505525956 0.129045446995541 0.277256059386459 0.353916720967969 0.252980183218981 0.16354274470722 2.04300663114723 0.0421633638698302 0.0626062069582327 11.2128994339888 0.238925728595704 0.467630035647208 2.95399082627416 0.254257860912006 0.405023828688975 1.12435636986214 NA 0.0293865869395786 0.104769570828063 0.195484687032849 0.509793399517038 NA 0.540457664149642 0.306642646326038 2.0570610857705 0.072827628502434 0.0932704715908365 16.1562344283031 0.155876678549069 0.49062823412166 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"4" 1992 "[75-79]" "homme" "[60-79]" 526752 3.9221493226414 1.1922118947816 0.59800437397485 0.455622380171314 0.205030071077091 0.653058744912217 0.417653848490371 3.6525727477067 7.86707976429136 0.70431626268149 0.153772553307818 0.00949213292023571 0.0474606646011785 26.2723254966284 1.07071259340259 1.71238077881052 1.71238077881052 1.71238077881052 2.17180001214993 1.03464248830569 NA 0.379685316809428 0.07973391652998 0.668246157584594 NA 3.97150841382662 2.97483445720187 0.461317659923455 0.191741084988761 0.00949213292023571 0.0341716785128486 19.4455835003949 0.522067310612964 0.880869934997874 0.880869934997874 0.880869934997874 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"5" 1992 "[80-84]" "femme" "[80-++]" 869208 2.83016263080874 0.220890741916779 0.456737627817507 0.705239712473884 0.115047261414989 0.0230094522829979 0.220890741916779 0.11044537095839 0.365850291299666 0.330185640261019 0.339389421174218 0.253103975112976 2.53449116897221 0.0713293020772933 0.0828340282187923 11.7808395688949 0.187527036106433 0.419922504164711 1.75332026396444 0.182925145649833 0.338238948560068 0.655769390065439 NA 0.0207085070546981 0.0724797746914432 0.125401514942338 0.495853696698604 NA 0.498154641926904 0.243900194199777 1.44959549382886 0.11044537095839 0.074780719919743 10.9260384165815 0.0885863912895417 0.285317208309173 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"6" 1992 "[00-04]" "femme" "[0-19]" 1641342 0 0 0 0 0.003046287732843 0 0.000609257546568601 0 0 0 0 0.0201054990367638 0 0.0231517867696068 0.000609257546568601 0.163890280026954 0.000609257546568601 0.000609257546568601 0 0 0 0 NA 0 0 0 0 NA 0 0.0018277726397058 0.000609257546568601 0.00731109055882321 0 0.0408202556200962 0 0 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"7" 1992 "[00-04]" "homme" "[0-19]" 1720949 0 0 0.0023242989769017 0 0.000581074744225424 0 0 0 0 0.0203376160478899 0.0267294382343695 0.0046485979538034 0 0.192916815082841 0.000581074744225424 0.000581074744225424 0.000581074744225424 0.000581074744225424 0 0 NA 0 0 0 NA 0.000581074744225424 0 0.00174322423267627 0.00871612116338137 0 0 0.0493913532591611 0.000581074744225424 0 0 0 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"8" 1992 "[05-09]" "femme" "[0-19]" 1850626 0.000540357695179901 0 0 0 0.000540357695179901 0 0.0016210730855397 0 0.0010807153903598 0 0.000540357695179901 0.00648429234215882 0 0.0189125193312965 0.0016210730855397 0.0940222389613028 0.0010807153903598 0 0 0 0 0 NA 0 0 0 0 NA 0 0.0016210730855397 0 0.00756500773251862 0 0.0362039655770534 0 0 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"9" 1992 "[05-09]" "homme" "[0-19]" 1937278 0 0 0.00103237635486492 0 0.00103237635486492 0 0 0 0.000516188177432459 0.00671044630662197 0.0263255970490554 0.00103237635486492 0.000516188177432459 0.135757490664737 0.00154856453229738 0.000516188177432459 0.000516188177432459 0.000516188177432459 0 0 NA 0 0 0 NA 0.000516188177432459 0 0.00103237635486492 0.00877519901635181 0 0 0.0485216886786512 0.000516188177432459 0 0 0 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
"10" 1992 "[10-14]" "femme" "[0-19]" 1904014 0.00105041244444631 0 0 0 0.000525206222223156 0 0.00420164977778525 0 0.00420164977778525 0 0.000525206222223156 0.00210082488889262 0 0.0147057742222484 0.0047268560000084 0.0982135635557302 0.00210082488889262 0 0 0 0 0 NA 0 0 0 0.000525206222223156 NA 0 0.00105041244444631 0 0.00630247466667787 0 0.0341384044445051 0 0 2.63 720.34 7.2 25.5 1141018 901784 1338386 5149221 4119983 2779697 5370440 3808374 9121629 30747331 35775218 43917479
